course_id,course_name,competency,category,level,delivery_mode,duration_hours,duration_weeks,max_participants,resource_types,prerequisites,certification_offered,start_date,end_date,status,num_qualified_trainers,primary_trainer_id,num_recommended_trainees,total_enrolled,completion_rate_percent,average_course_rating,average_assessment_pass_rate_percent,description
C1000,Doppler Radar Operations for Decision Makers,Doppler radar operations,Doppler Radar Operations,Intermediate,Offline,20,2,30,live webinar; PDF; case study; simulation,Basic understanding of Doppler radar operations,True,2027-01-02,2027-01-16,upcoming,5,TRN20260213,4,28,65.5,4.0,70.5,"Doppler Radar Operations for Decision Makers equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This intermediate course assumes basic familiarity with the subject and deepens practical, applied skills. Delivered as an in-person, station-based training programme with hands-on instruction. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1002,Doppler Radar Operations Refresher Course,Doppler radar operations,Doppler Radar Operations,Beginner,Online,16,2,25,quiz; live webinar; simulation,,False,2026-06-12,2026-06-26,completed,5,TRN20260213,6,7,87.5,4.7,66.0,"Doppler Radar Operations Refresher Course equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1004,Specialized Doppler Radar Operations Training,Doppler radar operations,Doppler Radar Operations,Advanced,Hybrid,24,3,20,quiz; field exercise; live webinar; simulation; PDF,Basic understanding of Doppler radar operations,False,2026-09-24,2026-10-15,upcoming,5,TRN20260213,4,5,80.8,4.0,64.4,Specialized Doppler Radar Operations Training equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This advanced course is designed for experienced officers seeking to master specialized techniques and lead operational deployment. Delivered in a hybrid format combining self-paced online modules with in-person practical sessions. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.
C1008,Advanced Doppler Radar Operations Techniques,Doppler radar operations,Doppler Radar Operations,Advanced,Online,12,2,40,lab exercise; video; field exercise; simulation,Basic understanding of Doppler radar operations,True,2026-07-28,2026-08-11,completed,5,TRN20260213,5,8,72.3,3.8,93.6,Advanced Doppler Radar Operations Techniques equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This advanced course is designed for experienced officers seeking to master specialized techniques and lead operational deployment. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.
C1009,Doppler Radar Operations for Field Officers,Doppler radar operations,Doppler Radar Operations,Intermediate,Offline,12,2,50,case study; lab exercise; PDF; simulation,Basic understanding of Doppler radar operations,True,2026-07-22,2026-08-05,completed,5,TRN20260213,6,46,98.0,4.6,97.8,"Doppler Radar Operations for Field Officers equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This intermediate course assumes basic familiarity with the subject and deepens practical, applied skills. Delivered as an in-person, station-based training programme with hands-on instruction. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C101,Foundations of Meteorology,Synoptic meteorology,Synoptic Meteorology,Beginner,Online,20,2,50,field exercise; simulation; video; live webinar; PDF,,False,2026-09-24,2026-10-08,upcoming,5,TRN20260108,5,43,82.7,3.7,77.4,"Foundations of Meteorology equips IMD personnel with the knowledge and skills required for synoptic chart analysis and classical weather forecasting fundamentals. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Synoptic meteorology' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1011,Applied Doppler Radar Operations,Doppler radar operations,Doppler Radar Operations,Beginner,Online,12,2,25,lab exercise; video; quiz; live webinar,,True,2026-04-21,2026-05-05,completed,5,TRN20260213,3,23,75.5,4.8,80.7,"Applied Doppler Radar Operations equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1012,Doppler Radar Operations: Core Concepts,Doppler radar operations,Doppler Radar Operations,Intermediate,Offline,40,5,25,PDF; live webinar; simulation,Basic understanding of Doppler radar operations,True,2026-08-30,2026-10-04,ongoing,5,TRN20260213,6,23,79.3,3.7,70.2,"Doppler Radar Operations: Core Concepts equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This intermediate course assumes basic familiarity with the subject and deepens practical, applied skills. Delivered as an in-person, station-based training programme with hands-on instruction. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1013,Doppler Radar Operations for New Recruits,Doppler radar operations,Doppler Radar Operations,Beginner,Hybrid,16,2,40,quiz; lab exercise; case study,,True,2026-09-17,2026-10-01,ongoing,5,TRN20260213,3,11,58.2,3.6,70.3,"Doppler Radar Operations for New Recruits equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered in a hybrid format combining self-paced online modules with in-person practical sessions. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1014,Doppler Radar Operations in Operational Forecasting,Doppler radar operations,Doppler Radar Operations,Beginner,Online,12,2,30,case study; lab exercise; quiz; simulation,,True,2026-08-14,2026-08-28,completed,5,TRN20260213,7,8,93.3,4.5,66.1,"Doppler Radar Operations in Operational Forecasting equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
